horizon,stock,n,DA,BA,P,R,F1,MCC,MAE
1,ENEL_logret,24,0.625000,0.621000,0.692000,0.643000,0.667000,0.240000,0.035000
2,ENEL_logret,24,0.625000,0.625000,0.600000,0.750000,0.667000,0.258000,0.033000
3,ENEL_logret,24,0.625000,0.619000,0.643000,0.692000,0.667000,0.240000,0.036000
4,ENEL_logret,24,0.625000,0.625000,0.615000,0.667000,0.640000,0.251000,0.046000
5,ENEL_logret,24,0.708000,0.707000,0.769000,0.714000,0.741000,0.410000,0.040000
6,ENEL_logret,24,0.750000,0.750000,0.714000,0.833000,0.769000,0.507000,0.046000
7,ENEL_logret,24,0.625000,0.626000,0.667000,0.615000,0.640000,0.251000,0.049000
8,ENEL_logret,24,0.542000,0.536000,0.615000,0.571000,0.593000,0.071000,0.057000
9,ENEL_logret,24,0.542000,0.536000,0.615000,0.571000,0.593000,0.071000,0.053000
10,ENEL_logret,24,0.417000,0.386000,0.500000,0.571000,0.533000,-0.239000,0.063000
11,ENEL_logret,24,0.500000,0.500000,0.583000,0.500000,0.538000,0.000000,0.060000
12,ENEL_logret,24,0.458000,0.436000,0.533000,0.571000,0.552000,-0.131000,0.064000
13,ENEL_logret,24,0.375000,0.364000,0.462000,0.429000,0.444000,-0.269000,0.061000
14,ENEL_logret,24,0.417000,0.386000,0.500000,0.571000,0.533000,-0.239000,0.066000
15,ENEL_logret,24,0.417000,0.400000,0.538000,0.467000,0.500000,-0.194000,0.064000
16,ENEL_logret,24,0.458000,0.433000,0.571000,0.533000,0.552000,-0.131000,0.065000
17,ENEL_logret,24,0.417000,0.400000,0.500000,0.500000,0.500000,-0.200000,0.056000
18,ENEL_logret,24,0.458000,0.421000,0.529000,0.643000,0.581000,-0.170000,0.060000
19,ENEL_logret,24,0.375000,0.350000,0.467000,0.500000,0.483000,-0.306000,0.050000
20,ENEL_logret,24,0.500000,0.490000,0.533000,0.615000,0.571000,-0.022000,0.051000
1,NKT_logret,24,0.667000,0.667000,0.625000,0.833000,0.714000,0.354000,0.033000
2,NKT_logret,24,0.625000,0.625000,0.588000,0.833000,0.690000,0.275000,0.039000
3,NKT_logret,24,0.708000,0.696000,0.688000,0.846000,0.759000,0.414000,0.054000
4,NKT_logret,24,0.667000,0.643000,0.688000,0.786000,0.733000,0.299000,0.054000
5,NKT_logret,24,0.625000,0.607000,0.667000,0.714000,0.690000,0.218000,0.063000
6,NKT_logret,24,0.667000,0.643000,0.688000,0.786000,0.733000,0.299000,0.066000
7,NKT_logret,24,0.667000,0.657000,0.667000,0.769000,0.714000,0.324000,0.077000
8,NKT_logret,24,0.750000,0.741000,0.733000,0.846000,0.786000,0.497000,0.071000
9,NKT_logret,24,0.750000,0.741000,0.733000,0.846000,0.786000,0.497000,0.089000
10,NKT_logret,24,0.750000,0.762000,0.667000,0.909000,0.769000,0.540000,0.083000
11,NKT_logret,24,0.667000,0.667000,0.643000,0.750000,0.692000,0.338000,0.074000
12,NKT_logret,24,0.667000,0.667000,0.643000,0.750000,0.692000,0.338000,0.067000
13,NKT_logret,24,0.667000,0.667000,0.643000,0.750000,0.692000,0.338000,0.073000
14,NKT_logret,24,0.625000,0.650000,0.533000,0.800000,0.640000,0.306000,0.070000
15,NKT_logret,24,0.792000,0.801000,0.714000,0.909000,0.800000,0.608000,0.065000
16,NKT_logret,24,0.708000,0.717000,0.643000,0.818000,0.720000,0.438000,0.074000
17,NKT_logret,24,0.750000,0.755000,0.692000,0.818000,0.750000,0.510000,0.069000
18,NKT_logret,24,0.583000,0.571000,0.643000,0.643000,0.643000,0.143000,0.079000
19,NKT_logret,24,0.625000,0.619000,0.643000,0.692000,0.667000,0.240000,0.085000
20,NKT_logret,24,0.750000,0.743000,0.786000,0.786000,0.786000,0.486000,0.086000
1,VWS_logret,24,0.833000,0.818000,1.000000,0.636000,0.778000,0.698000,0.047000
2,VWS_logret,24,0.792000,0.811000,0.667000,0.889000,0.762000,0.602000,0.046000
3,VWS_logret,24,0.958000,0.967000,0.900000,1.000000,0.947000,0.917000,0.051000
4,VWS_logret,24,0.917000,0.933000,0.818000,1.000000,0.900000,0.842000,0.050000
5,VWS_logret,24,0.833000,0.829000,0.800000,0.800000,0.800000,0.657000,0.056000
6,VWS_logret,24,0.875000,0.879000,0.818000,0.900000,0.857000,0.749000,0.066000
7,VWS_logret,24,0.708000,0.722000,0.583000,0.778000,0.667000,0.430000,0.074000
8,VWS_logret,24,0.667000,0.667000,0.545000,0.667000,0.600000,0.324000,0.089000
9,VWS_logret,24,0.542000,0.544000,0.417000,0.556000,0.476000,0.086000,0.102000
10,VWS_logret,24,0.667000,0.664000,0.636000,0.636000,0.636000,0.329000,0.106000
11,VWS_logret,24,0.625000,0.594000,0.444000,0.500000,0.471000,0.183000,0.100000
12,VWS_logret,24,0.708000,0.700000,0.600000,0.667000,0.632000,0.393000,0.106000
13,VWS_logret,24,0.583000,0.562000,0.400000,0.500000,0.444000,0.120000,0.116000
14,VWS_logret,24,0.583000,0.571000,0.500000,0.500000,0.500000,0.143000,0.101000
15,VWS_logret,24,0.583000,0.578000,0.455000,0.556000,0.500000,0.151000,0.111000
16,VWS_logret,24,0.500000,0.489000,0.364000,0.444000,0.400000,-0.022000,0.121000
17,VWS_logret,24,0.625000,0.621000,0.545000,0.600000,0.571000,0.240000,0.110000
18,VWS_logret,24,0.458000,0.438000,0.273000,0.375000,0.316000,-0.118000,0.127000
19,VWS_logret,24,0.583000,0.578000,0.455000,0.556000,0.500000,0.151000,0.109000
20,VWS_logret,24,0.500000,0.500000,0.417000,0.500000,0.455000,0.000000,0.108000
